产品名称,产品代码,预期年化收益率/业绩基准,起购金额,期限
个人尊利360天,ZL360D01,4.80%,50,360
步步为赢2号收益递增型灵活期限人民币理财产品WY1002,WY1002,3.00%-3.80%,5,无固定期限
个人增利360天,ZL360D02,4.50%-4.55%,5,360
PBZP13F6私银240天货架式理财产品2013年第F6期,PBZP13F6,1.076300,100,240
PBZP13F5私银180天货架式理财产品2014年第F5期,PBZP13F5,1.069000,100,180
PBZP13F4私银150天货架式理财产品2013年第F4期,PBZP13F4,1.085900,100,150
财富稳利350天,CFWL350,4.55%-4.70%,5,350
PBZP13F8私银365天货架式理财产品2013年第F8期,PBZP13F8,4.90%,100,365
工银专户“随心e”（潜力客户专享）,GSXE1711,4.55%-4.85%,10,60
中国工商银行个人人民币结构性存款产品2018年第81期,CNJG1891,2.70%-3.70%,5,363
PBZP13F3私银120天货架式理财产品2014年第F3期,PBZP13F3,1.079400,100,120
中国工商银行个人人民币结构性存款产品2018年第80期,CNJG1890,2.70%-3.60%,5,196
PBZP13F2私银90天货架式理财产品2013年第F2期,PBZP13F2,1.085300,100,90
PBZP13F1私银60天货架式理财产品2014年第F1期,PBZP13F1,1.075800,100,60
PBZP13F0私银30天货架式理财产品2013年第F0期,PBZP13F0,1.064400,100,30
PBBG1840私银全权委托资产管理安鑫益系列理财产品2018年第96期,PBBG1840,-,300,191
PBBG1841私银全权委托资产管理安鑫益系列理财产品2018年第97期,PBBG1841,-,100,268
财富稳利999天,CFWL1001,4.65%-4.80%,5,999
中国工商银行中证中票100指数型人民币理财产品（净值型）,ZZZS100,1.166900,10,无固定期限
PBZO1315国企改革主题投资产品,PBZO1315,0.934500,30,365
PBZO1314新兴产业主题投资产品,PBZO1314,1.003000,30,365
PBZO1317工银私银全权委托资产管理多市场策略组合理财计划,PBZO1317,1.065300,30,无固定期限
PBZO1316工行私人银行全权委托资产管理-多资产战略精选理财计划,PBZO1316,1.061000,30,730
“鑫得利”固定收益类1040天封闭净值型理财产品,GS18077,5.00%,5,1040
PBZO1311优势轮动管理产品,PBZO1311,0.893400,30,365
“安享回报”套利350天美元理财产品USD350,USD350,2.80%,0.8,350
PBZO1310价值优选管理产品,PBZO1310,0.905100,30,180
PBZO1313消费升级主题投资产品,PBZO1313,1.055900,30,365
PBZO1312多策略套利主题投资产品,PBZO1312,1.056900,30,40
2018第33期工银理财182天（高净值客户专属）,LHTZ1820,4.40%,10,182
灵通快线个人超短期高净值客户专属7天增利人民币理财产品,LT7D01,2.20%-2.90%,5,7
PBBG1839私银全权委托资产管理安鑫益系列理财产品2018年第95期,PBBG1839,-,100,191
“安享回报”套利273天人民币理财产品AXTL273,AXTL273,4.55%,10,273
保本稳利35天,BBWL35,3.20%,5,35
保本稳利182天,BBWL182,3.50%,5,182
财富稳利147天,CFWL147,4.35%-4.50%,5,147
财富稳利63天,CFWL63,4.05%-4.20%,5,63
“工银财富”全权资产委托系列产品-混合型均衡收益理财计划,ZHWT06,1.261200,10,无固定期限
“全球稳健”收益递增型灵活期限美元产品(工银财富客户专属),QQWJ1001,0.50%-1.10%,0.8,无固定期限
产品组合PBZX1702私银全权委托资产管理人民币理财2017年第158期,PBZX1702,1.064900,10,无固定期限
产品组合PBZX1703私银资产管理人民币理财产品2017年第280期,PBZX1703,1.080600,30,无固定期限
工银稳利56天,CFWLZX56,4.05%,5,56
产品组合PBZX1704私银资产管理人民币理财产品2017年第318期,PBZX1704,0.966600,30,无固定期限
个人高净值客户挂钩黄金（AU9999）2号理财产品（35天投资周期）,AUPS35,3.00%-7.00%,10,35
PBZX1701私银全权委托资产管理人民币理财产品2017年第18期,PBZX1701,1.052100,100,无固定期限
PBZP8002河北之星,PBZP8002,1.074700,100,30
工行私人银行专属全权委托资产管理人民币理财产品2013年第30期,PBZP1330,1.303500,100,无固定期限
PBZO1308全球投资精选产品,PBZO1308,1.190000,30,365
PBZO1307趋势策略管理产品,PBZO1307,0.850200,30,365
PBZO1309多策略平衡优选产品,PBZO1309,1.175400,30,365
个人高净值客户挂钩上证50指数理财产品（105天投资周期）,SZCS105,3.30%-7.30%,10,105
“安享回报”套利189天美元理财产品USD189,USD189,2.00%,0.8,189
PBZO1303股权投资产品,PBZO1303,1.227900,50,730
个人高净值客户挂钩沪深300指数2号理财产品（91天投资周期）,HSPS91,3.20%-7.20%,10,91
PBZO1306股债结合管理产品,PBZO1306,1.226200,30,180
PBZO1305另类投资产品,PBZO1305,6.00%,50,730
PBZO1300现金管理T+0产品,PBZO1300,3.40%,100,无固定期限
2018第33期工银理财152天（高净值客户专属）,ZH1822,4.35%,10,152
尊享系列开放净值型（价值精选主题）理财产品2015年第1期,ZXKG1501,1.139900,10,无固定期限
PBZO1302稳健配置产品,PBZO1302,1.212900,50,无固定期限
PBZO1301现金管理T+1产品,PBZO1301,3.45%,50,无固定期限
“安享回报”套利189天欧元理财产品EUR189,EUR189,1.00%,0.7,189
保本稳利91天,BBWL91,3.45%,5,91
PBZA17F7私银28天私银全权委托人民币理财产品2017年第552期,PBZA17F7,0％或8％,30,28
PBZA17F8私银28天私银全权委托人民币理财产品2017年第553期,PBZA17F8,0％或8.5％,30,28
个人尊利120天,ZL120D01,4.55%,50,120
个人增利120天,ZL120D02,4.30%-4.35%,5,120
国债期货增强型理财产品CFTF1501,CFTF1501,1.229000,10,无固定期限
PBZA17F1私银91天沪深300挂钩型人民币理财产品2017年第505期,PBZA17F1,3.30%-6.30%,30,91
PBZT0511私银客户专属全权委托资产管理理财计划2014年第208期,PBZT0511,-,5000,无固定期限
PBZA17F2私银56天中证500挂钩人民币理财产品2017年第506期,PBZA17F2,3.10%-6.70%,30,56
PBZA17F3私银28天私银全权委托人民币理财产品2017年第536期,PBZA17F3,0％或8％,30,28
PBZA17F4私银28天私银全权委托人民币理财产品2017年第537期,PBZA17F4,0％或9％,30,28
PBZA17F5私银91天沪深300挂钩型人民币理财产品2017年第550期,PBZA17F5,3.30%-6.30%,30,91
PBZA17F6私银56天中证500挂钩人民币理财产品2017年第551期,PBZA17F6,3.10%-6.25%,30,56
PBBG18AC私银全权委托资产管理安鑫益系列理财产品2018年第98期,PBBG18AC,-,100,97
财富稳利721天,CFWL721,4.60%-4.75%,5,721
个人高净值客户挂钩沪深300指数人民币理财产品（91天投资周期）,HSCS91,3.20%-7.20%,10,91
财富稳利42天,CFWL42,4.00%-4.15%,5,42
个人高净值客户挂钩黄金AU9999理财产品（63天投资周期）,AUCD63,4.50%-4.55%,10,63
PBAG18A1工商银行私人银行全权委托资产管理畅鑫享理财计划,PBAG18A1,上期分红适用年化收益率为3.9644％,100,无固定期限
PBAG18A0工商银行私人银行全权委托资产管理畅鑫享理财计划,PBAG18A0,上期分红适用年化收益率为4.0622％,100,无固定期限
全球稳健定期开放28天产品QQWJ28,QQWJ28,4.10%-4.20%,10,28
保本稳利273天,BBWL273,3.60%,5,273
PBZO1600工银私银全权委托资产管理现金管理T+0臻享版理财计划,PBZO1600,3.40%-3.55%,100,无固定期限
PBAG18A2工商银行私人银行全权委托资产管理畅鑫享理财计划,PBAG18A2,详见产品说明书,100,无固定期限
2012年第6期私人银行全权委托资产管理-混合型优势精选理财计划,PBZO1206,1.322000,100,无固定期限
2012年第1期私人银行全权委托资产管理-混合型稳健配置理财计划,PBZO1201,1.380300,30,无固定期限
“安享回报”套利98天欧元理财产品EUR98,EUR98,0.40%,0.7,98
个人高净值客户挂钩黄金AU9999理财产品（35天投资周期）,AUCS35,3.00%-7.00%,10,35
财富稳利98天,CFWL98,4.25%-4.40%,5,98
个人尊利240天,ZL240D01,4.65%,50,240
月月盈,PBZP17FC,4.50%-4.70%,100,30
周周盈,PBZP17FB,3.40%-3.80%,100,无固定期限
PBZP13FE私银1096天货架式理财产品2014年第FE期,PBZP13FE,5.10%,100,1096
个人增利240天,ZL240D02,4.45%-4.50%,5,240
个人尊利40天,ZL40D01,4.15%,50,40
PBZP13FD私银14天货架式理财产品2014年第FD期,PBZP13FD,1.071800,100,14
个人高净值客户挂钩中证500指数人民币理财产品（63天投资周期）,ZZCS63,3.00%-7.00%,10,63
双月盈,PBZP17FE,4.55%-4.75%,100,60
季季盈,PBZP17FD,4.60%-4.80%,100,90
个人尊利150天,ZL150D01,4.50%,50,150
个人高净值客户挂钩上证50指数2号理财产品（105天投资周期）,SZPS105,3.30%-7.30%,10,105
个人增利40天,ZL40D02,3.95%-4.05%,5,40
PBZP13FC私银45天货架式理财产品2014年第FC期,PBZP13FC,1.077300,100,45
PBZP13FB私银7天货架式理财产品2013年第FB期,PBZP13FB,1.056800,100,7
个人增利150天,ZL150D02,4.35%-4.40%,5,150
PBZP13FA私银730天货架式理财产品2013年第FA期,PBZP13FA,5.00%,100,730
“安享回报”套利98天美元理财产品USD98,USD98,1.00%,0.8,98
2018第33期工银理财202天（高净值客户专属）,CFXT8086,4.45%,10,202
PBZA18F1私银28天私银全权委托人民币理财产品2018年第1期,PBZA18F1,0％或8％,30,28
PBZA18F2私银28天私银全权委托人民币理财产品2018年第2期,PBZA18F2,0％或8％,30,28
PBZA18F3私银28天私银全权委托人民币理财产品2018年第11期,PBZA18F3,0％或3.5％或7％,30,28
“安享回报”套利273天美元理财产品USD273,USD273,2.70%,0.8,273
