产品名称,产品代码,预期年化收益率/业绩基准,起购金额,期限
非凡资产管理翠竹周期开放26W周四尊享08款,FSAB260424,0.00%,"1,000,000.00",182
非凡资产管理一年增利第351期（直销银行专属）高端款,FSAA18367G,4.95%,"200,000.00",364
非凡资产管理翠竹周期开放26W周四普通09款,FSAB260425,0.00%,"50,000.00",182
非凡资产管理一年增利第351期（直销银行专属）尊享款,FSAA18367H,5.00%,"1,000,000.00",364
非凡资产管理翠竹周期开放26W周四普通08款,FSAB260422,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放26W周四高端08款,FSAB260423,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放26W周四高端07款,FSAB260420,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放26W周四尊享07款,FSAB260421,0.00%,"1,000,000.00",182
非凡资产管理翠竹13W理财产品周一普通05款,FSAB13909A,0.00%,"50,000.00",91
非凡资产管理翠竹2W理财产品周二尊特01款,FSAB12036E,0.00%,"10,000,000.00",14
非凡资产管理翠竹1W理财产品周一尊享款,FSAB12024D,0.00%,"1,000,000.00",7
非凡资产管理翠竹2W理财产品周二尊享01款,FSAB12036D,0.00%,"1,000,000.00",14
聚赢股票-挂钩沪深300（双向）结构性存款产品18925号（直销银行专属）,FSCA18925A,0.00%,"100,000.00",91
非凡资产管理翠竹1W理财产品周一尊特款,FSAB12024E,0.00%,"10,000,000.00",7
非凡资产管理翠竹5W理财产品周四尊享02款,FSAB13004D,0.00%,"1,000,000.00",35
非凡资产管理慧赢添利固收类12W03款,FSAE03003A,0.00%,"50,000.00",84
非凡资产管理翠竹5W理财产品周一尊享03款,FSAB13005D,0.00%,"1,000,000.00",35
非凡资产管理翠竹周期开放26W周四普通07款,FSAB260419,0.00%,"50,000.00",182
非凡资产管理九月增利第351期普通02款,FSAA18366A,4.90%,"50,000.00",273
非凡资产管理翠竹5W理财产品周一高端03款,FSAB13005B,0.00%,"200,000.00",35
非凡资产管理翠竹周期开放26W周四高端06款,FSAB260417,0.00%,"200,000.00",182
非凡资产管理九月增利第351期高端02款,FSAA18366B,4.95%,"200,000.00",273
非凡资产管理翠竹5W理财产品周一普通03款,FSAB13005A,0.00%,"50,000.00",35
非凡资产管理翠竹周期开放26W周四尊享06款,FSAB260418,0.00%,"1,000,000.00",182
非凡资产管理翠竹周期开放26W周四尊享05款,FSAB260415,0.00%,"1,000,000.00",182
