pfloor,pid,pname,pperiod,prate
50万,A130A0357,惠益成长13号17期,1,6.15
3000万,B17SD0077,恒赢A款1710期,90,0.0
5万,A130A0362,快车A计划283号,1,6.1
10000万,B17SD0081,恒赢A款（策略型）1701期,90,0.0
100万,A181D0798,慧赢成长1895期,1098,6.05
10000万,B17SD0082,恒赢A款（策略型）1702期,90,0.0
100万,A181D2073,慧赢成长18111期,1099,6.05
3000万,A17SD0112,全权委托C款1707期,90,0.0
5万,A130A0367,惠益计划9号55期,1,6.0
4200万,A17SD0130,全权委托A款1711期,90,0.0
10万,A14SD0004,惠益计划12号84期,1,6.0
3000万,A17SD0198,恒赢A款1713期,90,0.0
10万,A14SD0005,惠益计划12号85期,1,6.0
3000万,A17SD0200,恒赢B款1728期,90,0.0
20万,A130A0351,惠益成长13号12期,1,5.95
3000万,A17SD0206,恒赢B款1729期,90,0.0
50万,A130A0373,惠益计划16号6期,1,5.9
3000万,A17SD0213,恒赢A款1712期,90,0.0
5万,B140A0014,共赢1411期对私,1,5.9
3000万,A17SD0253,恒赢A款1717期,90,0.0
5万,B140A0019,共赢1418期对私,1,5.9
100万,A170D1511,睿赢成长季开,90,0.0
5万,A181A0951,乐赢稳健1837,1092,5.9
3000万,A17SD0262,恒赢B款1734期,90,0.0
10万,A14SD0003,惠益计划12号83期,1,5.8
5万,A170A1635,乐赢基金结构1701,367,0.0
5万,B140A0066,共赢1454期对私,1,5.8
50万,A170A1636,乐赢基金结构1702期(50万起）,367,0.0
5万,B140A0069,共赢1457期对私,1,5.8
3000万,A17SD0296,恒赢A款1720期,90,0.0
10万,E14SA0001,惠益计划20号117,1,5.8
3000万,A17SD0313,恒赢B款1736期,90,0.0
300万,A181D0796,慧赢成长1893期,370,5.8
3000万,A17SD0314,恒赢B款1737期,90,0.0
300万,A181D2072,慧赢成长18110期,371,5.8
3000万,B17SD0040,恒赢B款1706期,90,0.0
300万,A181D2076,慧赢成长18114期,371,5.8
100万,A170D2019,晟信系列1709,-1,0.0
5万,A140A0090,惠益计划9号59期,1,5.7
3000万,A17SD0331,恒赢B款1738期,90,0.0
100万,B130A0197,共赢13124期对私,1,5.6
2000万,A17SD0609,恒赢B款1750期,90,0.0
5万,B140A0013,共赢1410期对私,1,5.6
3000万,A17SD0343,恒赢B款1739期,360,0.0
100万,A180D7972,慧赢成长1827期,700,5.6
3000万,A17SD0381,恒赢A款1722期,90,0.0
100万,A180D7975,慧赢成长1830期,690,5.6
3000万,A17SD0449,恒赢A款1724期,90,0.0
100万,A180D7978,慧赢成长1833期,680,5.6
3000万,A17SD0462,恒赢B款1744期,90,0.0
100万,A180D9722,慧赢成长1851期,679,5.6
4000万,A17SD0465,恒赢B款1745期,90,0.0
100万,A180D9726,慧赢成长1855期,700,5.6
3000万,A17SD0510,恒赢A款1725期,90,0.0
100万,A180D9730,慧赢成长1859期,696,5.6
3000万,A17SD0515,恒赢A款1726期,90,0.0
100万,A180D9734,慧赢成长1863期,700,5.6
10000万,A17SD0541,恒赢B款1748期,360,0.0
100万,A181D0782,慧赢成长1879期,700,5.6
100万,A170D4947,睿赢指数增强年年投1702期,367,0.0
100万,A181D0786,慧赢成长1883期,700,5.6
20万,A170D5326,晟信系列1711,-1,0.0
100万,A181D0792,慧赢成长1889期,708,5.6
50万,A180A7965,乐赢黄金结构1812期人民币,180,0.0
100万,A181D0797,慧赢成长1894期,706,5.6
3000万,A17SD0608,恒赢B款1749期,360,0.0
50万,A181D4088,慧赢成长18137期,378,5.6
5000万,A17SD0614,恒赢C款1712期,90,0.0
10000万,A18SD0962,慧赢成长1897期,180,5.55
100万,A170D4623,睿赢成长半年开1期,180,0.0
5万,A140A0030,惠益计划14号56期,1,5.5
3000万,A17SD0625,恒赢B款1752期,90,0.0
5万,A180A9744,乐赢稳健1832,700,5.5
100万,A170D7365,慧赢稳健同行1702期,-1,0.0
5万,A180A9183,乐赢稳健1820期,700,5.5
100万,A180D6683,慧赢成长同行半年开,180,0.0
10000万,A18SD0883,慧赢成长1868期,271,5.5
5万,A180A6926,乐赢基金结构1801期人民币,364,0.0
5万,A180A9743,乐赢稳健1831（315回馈）,700,5.5
50万,A180A6927,乐赢基金结构1802期人民币,364,0.0
5万,A181A0950,乐赢稳健1836,700,5.5
3000万,A18SD0738,恒赢A款1802期,90,0.0
10000万,A18SD1113,慧赢成长18134期,371,5.5
100万,A180D7829,尊享系列环保精选,90,0.0
5万,A181A0952,乐赢稳健1838,700,5.5
3000万,A18SD0772,恒赢B款1801期,90,0.0
100万,A181D0794,慧赢成长1891期,111,5.5
100万,A180D8244,睿赢成长半年开2期,180,0.0
100万,A181D2070,慧赢成长18108期,112,5.5
7000万,A18SD0825,恒赢B款(策略型)1801期,360,0.0
100万,A181A2516,乐赢成长1825（新客专属）,105,5.5
5万,A180A7964,乐赢黄金结构1811期人民币,180,0.0
100万,A181A2507,乐赢成长1826（新客专属）,110,5.5
100万,A180D8961,睿赢成长月开2期,30,0.0
100万,A181D2079,慧赢成长18117期,91,5.5
3000万,A18SD0916,恒赢A款1804,90,0.0
100万,A181D2080,慧赢成长18118期,91,5.5
100万,A18SD0917,尊享1期,360,0.0
100万,A181D4513,慧赢成长18148期,91,5.5
10万,A180A9953,双赢环球机遇,90,0.0
100万,A180D7974,慧赢成长1829期,325,5.45
50万,A180A9175,乐赢海外股票挂钩1822期人民币,181,0.0
100万,A180D7977,慧赢成长1832期,316,5.45
5万,A180A9174,乐赢海外股票挂钩1821期人民币,181,0.0
100万,A180A9179,乐赢成长1806,372,5.45
5万,A180A9753,乐赢黄金挂钩1823期人民币,181,0.0
100万,A180D7969,慧赢成长1824期,330,5.42
5万,A180A9754,乐赢沪深300挂钩1824期人民币,181,0.0
100万,A180D7971,慧赢成长1826期,329,5.42
3000万,A18SD1016,恒赢B款1807,90,0.0
100万,A180D7973,慧赢成长1828期,227,5.42
50万,A181A0705,乐赢黄金挂钩1834期人民币,189,0.0
100万,A180D7976,慧赢成长1831期,218,5.42
100万,A181A1106,乐赢成长半年开,180,0.0
100万,A180A9178,乐赢成长1805,197,5.42
5万,A181A0706,乐赢沪深300挂钩1835期人民币,185,0.0
5万,A140A0153,惠益计划7号57期,1,5.4
50万,A181A0707,乐赢沪深300挂钩1836期人民币,185,0.0
100万,A180D7968,慧赢成长1823期,196,5.4
3000万,A17SD0199,恒赢A款1714期,90,0.0
100万,A180D7970,慧赢成长1825期,192,5.4
3000万,A17SD0290,恒赢A款1718期,90,0.0
5万,A180A9182,乐赢稳健1819（女神节专属）,575,5.4
3000万,A18SD1067,恒赢A款1807,90,0.0
100万,A181D0791,慧赢成长1888期,203,5.4
5万,A181A1197,乐赢港股挂钩1837期人民币,185,0.0
5万,A181A0949,乐赢稳健1835,548,5.4
50万,A181A1198,乐赢港股挂钩1838期人民币,185,0.0
100万,A181D0795,慧赢成长1892期,202,5.4
50万,A181A1550,乐赢黄金挂钩1844期人民币,192,0.0
100万,A181A2510,乐赢成长1827（新客专属）,105,5.4
5万,A181A1549,乐赢黄金挂钩1843期人民币,192,0.0
100万,A181A2513,乐赢成长1828（新客专属）,105,5.4
3000万,A18SD1081,恒赢B款1808,90,0.0
10000万,A181D4338,慧赢成长18147期,367,5.4
3000万,A18SD1082,恒赢B款1809,90,0.0
10000万,A18SD1229,慧赢成长18150期,90,5.4
5万,A181A2527,乐赢稳健和信1805期,-1,0.0
100万,A181A4113,乐赢成长1829（新客专属）,105,5.4
100万,A181D0634,慧赢成长同行1826期,-1,0.0
100万,A181D4087,慧赢成长18136期,91,5.4
5万,A181A2000,乐赢沪深300挂钩1845期人民币,185,0.0
